yr_19,yr_20,yr_21,yr_22
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,N,N,N
Y,Y,Y,Y
Y,Y,Y,Y
Y,N,N,N
N,N,N,N
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,N,N,N
Y,Y,Y,Y
N,Y,N,Y
N,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
N,Y,Y,Y
N,N,N,N
Y,Y,Y,N
N,N,N,N
Y,Y,Y,Y
N,N,N,N
Y,N,N,N
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,N,N,N
N,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
N,N,N,N
Y,Y,Y,Y
Y,Y,Y,Y
N,N,N,N
N,N,N,N
Y,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
N,Y,Y,Y
N,N,N,N
N,N,N,N
N,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,N,N,N
N,N,N,N
Y,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
N,N,Y,Y
N,Y,Y,Y
N,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,N,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
Y,Y,Y,Y
N,N,Y,Y
Y,Y,Y,Y
